Anno,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85-89,90-94,95-99,100+,0-14 anni,15-64 anni,65+ anni,Citt. Stranieri,% Stranieri,Totale residenti,Età media,Indice di vecchiaia,Indice di natalità (x 1.000 ab.),Indice di mortalità (x 1.000 ab.),Stima tot nascite,Stima tot decessi,Differenza nati-decessi,Nuovi residenti,Indice di dipendenza strutturale,Indice di ricambio della popolazione attiva,Indice di struttura della popolazione attiva
1861,,,,,,,,,,,,,,,,,,,,,,,,,,,1.241,,,,,,,,,,,
1871,,,,,,,,,,,,,,,,,,,,,,,,,,,1.272,,,,,,,,,,,
1881,,,,,,,,,,,,,,,,,,,,,,,,,,,1.353,,,,,,,,,,,
1901,,,,,,,,,,,,,,,,,,,,,,,,,,,1.348,,,,,,,,,,,
1911,,,,,,,,,,,,,,,,,,,,,,,,,,,1.414,,,,,,,,,,,
1921,,,,,,,,,,,,,,,,,,,,,,,,,,,1.542,,,,,,,,,,,
1931,,,,,,,,,,,,,,,,,,,,,,,,,,,1.482,,,,,,,,,,,
1936,,,,,,,,,,,,,,,,,,,,,,,,,,,1.625,,,,,,,,,,,
1951,,,,,,,,,,,,,,,,,,,,,,,,,,,2.035,,,,,,,,,,,
1961,,,,,,,,,,,,,,,,,,,,,,,,,,,2.532,,,,,,,,,,,
1971,,,,,,,,,,,,,,,,,,,,,,,,,,,4.498,,,,,,,,,,,
1981,,,,,,,,,,,,,,,,,,,,,,,,,,,4.964,,,,,,,,,,,
1991,,,,,,,,,,,,,,,,,,,,,,,,,,,7.087,,,,,,,,,,,
2001,,,,,,,,,,,,,,,,,,,,,,,,,,,7.854,,,,,,,,,,,
2002,404,388,425,409,435,610,718,689,683,625,652,426,440,313,257,188,106,68,22,6,0,1.217,5.687,960,100,"1,3",7.864,"39,20","78,90","10,00","5,90",79,46,32,53,"38,30","107,60","98,80"
2003,413,375,435,413,427,598,697,736,684,647,646,478,443,319,271,213,110,65,26,4,1,1.223,5.769,1.009,141,"1,8",8.001,"39,60","82,50","10,70","8,90",86,71,14,123,"38,70","107,30","100,90"
2004,423,389,440,421,423,590,694,773,691,664,620,538,453,343,251,213,127,54,30,7,0,1.252,5.867,1.025,221,"2,7",8.144,"39,70","81,90","10,50","6,00",86,49,37,106,"38,80","107,60","102,20"
2005,430,409,416,421,442,546,714,781,697,667,608,585,430,385,257,221,133,56,32,7,0,1.255,5.891,1.091,262,"3,2",8.237,"40,00","86,90","10,80","7,00",89,58,31,62,"39,80","102,10","102,90"
2006,457,390,417,412,446,520,705,760,712,654,602,639,397,411,277,222,132,61,35,9,0,1.264,5.847,1.147,311,"3,8",8.258,"40,20","90,70","10,00","7,30",83,60,22,-1,"41,20","96,40","105,70"
2007,454,428,393,431,445,470,739,773,690,685,609,638,411,418,285,237,142,67,33,5,2,1.275,5.791,1.189,354,"4,2",8.355,"40,40","93,30","10,20","6,90",85,58,28,69,"41,80","95,40","106,10"
2008,471,451,387,440,455,494,746,799,749,690,628,623,456,429,298,250,157,73,24,4,1,1.309,6.080,1.236,447,"5,2",8.625,"40,40","94,40","10,60","8,10",91,70,22,248,"41,90","103,60","107,20"
